testcase,pop_size,crossover_rate,mutation_rate,k,cost
dist_diagonal_38_N30_M300,100,0.7,0.05,1,37583
dist_corner_31_N15_M150,200,0.9,0.2,1,14683
dist_diagonal_38_N30_M300,100,0.7,0.05,2,37827
dist_diagonal_38_N30_M300,100,0.7,0.1,0,37656
dist_diagonal_38_N30_M300,100,0.7,0.05,0,38373
dist_diagonal_38_N30_M300,100,0.7,0.1,2,37668
dist_diagonal_38_N30_M300,100,0.7,0.1,1,37827
dist_diagonal_38_N30_M300,100,0.7,0.2,0,38688
dist_diagonal_38_N30_M300,100,0.7,0.2,1,38420
dist_diagonal_38_N30_M300,100,0.8,0.05,0,37554
dist_diagonal_38_N30_M300,100,0.8,0.05,1,37611
dist_diagonal_38_N30_M300,100,0.8,0.1,1,37640
dist_diagonal_38_N30_M300,100,0.7,0.2,2,38052
dist_diagonal_38_N30_M300,100,0.8,0.1,0,37535
dist_diagonal_38_N30_M300,100,0.8,0.1,2,37827
dist_diagonal_38_N30_M300,100,0.8,0.05,2,38011
dist_diagonal_38_N30_M300,100,0.8,0.2,2,38021
dist_diagonal_38_N30_M300,100,0.8,0.2,0,37961
dist_diagonal_38_N30_M300,100,0.8,0.2,1,37920
dist_diagonal_38_N30_M300,100,0.9,0.05,0,37613
dist_diagonal_38_N30_M300,100,0.9,0.05,1,37827
dist_diagonal_38_N30_M300,100,0.9,0.05,2,37827
dist_diagonal_38_N30_M300,100,0.9,0.1,0,37577
dist_diagonal_38_N30_M300,100,0.9,0.1,2,37910
dist_diagonal_38_N30_M300,100,0.9,0.1,1,37827
dist_diagonal_38_N30_M300,100,0.9,0.2,1,37827
dist_diagonal_38_N30_M300,100,0.9,0.2,0,37923
dist_diagonal_38_N30_M300,100,0.9,0.2,2,37934
dist_diagonal_38_N30_M300,200,0.7,0.05,1,37656
dist_diagonal_38_N30_M300,200,0.7,0.05,0,37827
dist_diagonal_38_N30_M300,200,0.7,0.05,2,37892
dist_diagonal_38_N30_M300,200,0.7,0.1,0,37554
dist_diagonal_38_N30_M300,200,0.7,0.1,1,37827
dist_diagonal_38_N30_M300,200,0.7,0.1,2,37824
dist_diagonal_38_N30_M300,200,0.7,0.2,0,38299
dist_diagonal_38_N30_M300,200,0.7,0.2,1,37827
dist_diagonal_38_N30_M300,200,0.7,0.2,2,37719
dist_diagonal_38_N30_M300,200,0.8,0.05,0,37502
dist_diagonal_38_N30_M300,200,0.8,0.05,1,38142
dist_diagonal_38_N30_M300,200,0.8,0.1,0,37827
dist_diagonal_38_N30_M300,200,0.8,0.05,2,37418
dist_diagonal_38_N30_M300,200,0.8,0.2,0,37856
dist_diagonal_38_N30_M300,200,0.8,0.2,1,37827
dist_diagonal_38_N30_M300,200,0.8,0.1,1,37827
dist_diagonal_38_N30_M300,200,0.8,0.2,2,37912
dist_diagonal_38_N30_M300,200,0.8,0.1,2,37782
dist_diagonal_38_N30_M300,200,0.9,0.05,0,37785
dist_diagonal_38_N30_M300,200,0.9,0.1,0,37721
dist_diagonal_38_N30_M300,200,0.9,0.1,2,37827
dist_diagonal_38_N30_M300,200,0.9,0.05,2,37532
dist_diagonal_38_N30_M300,200,0.9,0.1,1,37542
dist_diagonal_38_N30_M300,200,0.9,0.05,1,37404
dist_diagonal_38_N30_M300,200,0.9,0.2,0,37827
dist_diagonal_38_N30_M300,200,0.9,0.2,1,37827
dist_diagonal_38_N30_M300,200,0.9,0.2,2,37861
edge_N1_24_N1_M500,100,0.7,0.05,0,139393
edge_N1_24_N1_M500,100,0.7,0.05,1,139285
edge_N1_24_N1_M500,100,0.7,0.05,2,143374
edge_N1_24_N1_M500,100,0.7,0.1,1,144555
edge_N1_24_N1_M500,100,0.7,0.1,0,148598
edge_N1_24_N1_M500,100,0.7,0.1,2,148449
edge_N1_24_N1_M500,100,0.7,0.2,2,153045
edge_N1_24_N1_M500,100,0.7,0.2,0,153744
edge_N1_24_N1_M500,100,0.7,0.2,1,151416
edge_N1_24_N1_M500,100,0.8,0.05,1,135406
edge_N1_24_N1_M500,100,0.8,0.1,0,144982
edge_N1_24_N1_M500,100,0.8,0.05,2,142092
edge_N1_24_N1_M500,100,0.8,0.05,0,140331
edge_N1_24_N1_M500,100,0.8,0.1,1,148114
edge_N1_24_N1_M500,100,0.8,0.1,2,145598
edge_N1_24_N1_M500,100,0.8,0.2,0,151761
edge_N1_24_N1_M500,100,0.8,0.2,1,153576
edge_N1_24_N1_M500,100,0.8,0.2,2,152610
edge_N1_24_N1_M500,100,0.9,0.05,0,136592
edge_N1_24_N1_M500,100,0.9,0.05,1,137398
edge_N1_24_N1_M500,100,0.9,0.1,0,146487
edge_N1_24_N1_M500,100,0.9,0.05,2,133705
edge_N1_24_N1_M500,100,0.9,0.2,1,154475
edge_N1_24_N1_M500,100,0.9,0.1,1,150168
edge_N1_24_N1_M500,100,0.9,0.2,0,153064
edge_N1_24_N1_M500,100,0.9,0.1,2,146871
edge_N1_24_N1_M500,100,0.9,0.2,2,152553
edge_N1_24_N1_M500,200,0.7,0.05,0,140127
edge_N1_24_N1_M500,200,0.7,0.05,1,138916
edge_N1_24_N1_M500,200,0.7,0.1,1,147883
edge_N1_24_N1_M500,200,0.7,0.1,2,146513
edge_N1_24_N1_M500,200,0.7,0.05,2,139931
edge_N1_24_N1_M500,200,0.7,0.2,0,153213
edge_N1_24_N1_M500,200,0.7,0.1,0,145984
edge_N1_24_N1_M500,200,0.7,0.2,1,153568
edge_N1_24_N1_M500,200,0.7,0.2,2,154098
edge_N1_24_N1_M500,200,0.8,0.05,0,140522
edge_N1_24_N1_M500,200,0.8,0.05,1,139545
edge_N1_24_N1_M500,200,0.8,0.05,2,135033
edge_N1_24_N1_M500,200,0.8,0.1,1,146259
edge_N1_24_N1_M500,200,0.8,0.1,0,149103
edge_N1_24_N1_M500,200,0.8,0.1,2,148668
edge_N1_24_N1_M500,200,0.8,0.2,2,153291
edge_N1_24_N1_M500,200,0.8,0.2,0,152077
edge_N1_24_N1_M500,200,0.8,0.2,1,153177
edge_N1_24_N1_M500,200,0.9,0.05,0,137547
edge_N1_24_N1_M500,200,0.9,0.05,2,138882
edge_N1_24_N1_M500,200,0.9,0.05,1,136337
edge_N1_24_N1_M500,200,0.9,0.1,1,149087
edge_N1_24_N1_M500,200,0.9,0.1,2,145459
edge_N1_24_N1_M500,200,0.9,0.1,0,147697
edge_N1_24_N1_M500,200,0.9,0.2,0,154460
edge_N1_24_N1_M500,200,0.9,0.2,1,153194
edge_N1_24_N1_M500,200,0.9,0.2,2,153446
edge_dense_30_N50_M1000,100,0.7,0.05,0,672
edge_dense_30_N50_M1000,100,0.7,0.05,1,672
edge_dense_30_N50_M1000,100,0.7,0.05,2,672
edge_dense_30_N50_M1000,100,0.7,0.1,0,672
edge_dense_30_N50_M1000,100,0.7,0.1,1,672
edge_dense_30_N50_M1000,100,0.7,0.1,2,672
edge_dense_30_N50_M1000,100,0.7,0.2,0,672
edge_dense_30_N50_M1000,100,0.7,0.2,1,672
edge_dense_30_N50_M1000,100,0.7,0.2,2,672
edge_dense_30_N50_M1000,100,0.8,0.05,0,672
edge_dense_30_N50_M1000,100,0.8,0.05,1,672
edge_dense_30_N50_M1000,100,0.8,0.05,2,672
edge_dense_30_N50_M1000,100,0.8,0.1,0,672
edge_dense_30_N50_M1000,100,0.8,0.1,1,672
edge_dense_30_N50_M1000,100,0.8,0.1,2,672
edge_dense_30_N50_M1000,100,0.8,0.2,0,672
edge_dense_30_N50_M1000,100,0.8,0.2,1,672
edge_dense_30_N50_M1000,100,0.8,0.2,2,672
edge_dense_30_N50_M1000,100,0.9,0.05,0,672
edge_dense_30_N50_M1000,100,0.9,0.05,1,672
edge_dense_30_N50_M1000,100,0.9,0.05,2,672
edge_dense_30_N50_M1000,100,0.9,0.1,0,672
edge_dense_30_N50_M1000,100,0.9,0.1,1,672
edge_dense_30_N50_M1000,100,0.9,0.1,2,672
edge_dense_30_N50_M1000,100,0.9,0.2,0,672
edge_dense_30_N50_M1000,100,0.9,0.2,1,672
edge_dense_30_N50_M1000,100,0.9,0.2,2,672
edge_dense_30_N50_M1000,200,0.7,0.05,0,672
edge_dense_30_N50_M1000,200,0.7,0.05,1,672
edge_dense_30_N50_M1000,200,0.7,0.05,2,672
edge_dense_30_N50_M1000,200,0.7,0.1,0,672
edge_dense_30_N50_M1000,200,0.7,0.1,1,672
edge_dense_30_N50_M1000,200,0.7,0.1,2,672
edge_dense_30_N50_M1000,200,0.7,0.2,0,672
edge_dense_30_N50_M1000,200,0.7,0.2,1,672
edge_dense_30_N50_M1000,200,0.7,0.2,2,672
edge_dense_30_N50_M1000,200,0.8,0.05,0,672
edge_dense_30_N50_M1000,200,0.8,0.05,1,672
edge_dense_30_N50_M1000,200,0.8,0.05,2,672
edge_dense_30_N50_M1000,200,0.8,0.1,0,672
edge_dense_30_N50_M1000,200,0.8,0.1,1,672
edge_infeas_26_N30_M200,100,0.7,0.05,0,-1
edge_infeas_26_N30_M200,100,0.7,0.05,1,-1
edge_infeas_26_N30_M200,100,0.7,0.05,2,-1
edge_infeas_26_N30_M200,100,0.7,0.1,0,-1
edge_infeas_26_N30_M200,100,0.7,0.1,1,-1
edge_infeas_26_N30_M200,100,0.7,0.1,2,-1
edge_infeas_26_N30_M200,100,0.7,0.2,0,-1
edge_infeas_26_N30_M200,100,0.7,0.2,1,-1
edge_infeas_26_N30_M200,100,0.7,0.2,2,-1
edge_infeas_26_N30_M200,100,0.8,0.05,0,-1
edge_infeas_26_N30_M200,100,0.8,0.05,1,-1
edge_infeas_26_N30_M200,100,0.8,0.05,2,-1
edge_infeas_26_N30_M200,100,0.8,0.1,0,-1
edge_infeas_26_N30_M200,100,0.8,0.1,1,-1
edge_infeas_26_N30_M200,100,0.8,0.1,2,-1
edge_infeas_26_N30_M200,100,0.8,0.2,0,-1
edge_infeas_26_N30_M200,100,0.8,0.2,1,-1
edge_infeas_26_N30_M200,100,0.8,0.2,2,-1
edge_infeas_26_N30_M200,100,0.9,0.05,0,-1
edge_infeas_26_N30_M200,100,0.9,0.05,1,-1
edge_infeas_26_N30_M200,100,0.9,0.05,2,-1
edge_infeas_26_N30_M200,100,0.9,0.1,0,-1
edge_infeas_26_N30_M200,100,0.9,0.1,1,-1
edge_infeas_26_N30_M200,100,0.9,0.1,2,-1
edge_infeas_26_N30_M200,100,0.9,0.2,0,-1
edge_infeas_26_N30_M200,100,0.9,0.2,1,-1
edge_infeas_26_N30_M200,100,0.9,0.2,2,-1
edge_infeas_26_N30_M200,200,0.7,0.05,0,-1
edge_infeas_26_N30_M200,200,0.7,0.05,1,-1
edge_infeas_26_N30_M200,200,0.7,0.05,2,-1
edge_dense_30_N50_M1000,200,0.8,0.1,2,672
edge_infeas_26_N30_M200,200,0.7,0.1,0,-1
edge_infeas_26_N30_M200,200,0.7,0.1,2,-1
edge_infeas_26_N30_M200,200,0.7,0.1,1,-1
edge_infeas_26_N30_M200,200,0.7,0.2,0,-1
edge_infeas_26_N30_M200,200,0.7,0.2,1,-1
edge_infeas_26_N30_M200,200,0.7,0.2,2,-1
edge_infeas_26_N30_M200,200,0.8,0.05,0,-1
edge_infeas_26_N30_M200,200,0.8,0.05,1,-1
edge_infeas_26_N30_M200,200,0.8,0.05,2,-1
edge_infeas_26_N30_M200,200,0.8,0.1,0,-1
edge_infeas_26_N30_M200,200,0.8,0.1,1,-1
edge_infeas_26_N30_M200,200,0.8,0.1,2,-1
edge_infeas_26_N30_M200,200,0.8,0.2,0,-1
edge_infeas_26_N30_M200,200,0.8,0.2,1,-1
edge_infeas_26_N30_M200,200,0.8,0.2,2,-1
edge_infeas_26_N30_M200,200,0.9,0.05,0,-1
edge_infeas_26_N30_M200,200,0.9,0.05,1,-1
edge_infeas_26_N30_M200,200,0.9,0.05,2,-1
edge_infeas_26_N30_M200,200,0.9,0.1,0,-1
edge_infeas_26_N30_M200,200,0.9,0.1,1,-1
edge_infeas_26_N30_M200,200,0.9,0.1,2,-1
edge_infeas_26_N30_M200,200,0.9,0.2,1,-1
edge_infeas_26_N30_M200,200,0.9,0.2,0,-1
edge_infeas_26_N30_M200,200,0.9,0.2,2,-1
edge_dense_30_N50_M1000,200,0.8,0.2,0,672
edge_dense_30_N50_M1000,200,0.8,0.2,1,672
edge_dense_30_N50_M1000,200,0.8,0.2,2,672
edge_dense_30_N50_M1000,200,0.9,0.05,0,672
edge_dense_30_N50_M1000,200,0.9,0.05,1,672
edge_dense_30_N50_M1000,200,0.9,0.05,2,672
edge_dense_30_N50_M1000,200,0.9,0.1,0,672
edge_dense_30_N50_M1000,200,0.9,0.1,1,672
edge_dense_30_N50_M1000,200,0.9,0.1,2,672
edge_dense_30_N50_M1000,200,0.9,0.2,0,672
edge_dense_30_N50_M1000,200,0.9,0.2,1,672
edge_dense_30_N50_M1000,200,0.9,0.2,2,672
edge_sparse_27_N40_M800,100,0.7,0.05,2,330084
edge_sparse_27_N40_M800,100,0.7,0.05,0,327452
edge_sparse_27_N40_M800,100,0.7,0.05,1,320500
edge_sparse_27_N40_M800,100,0.7,0.1,0,334386
edge_sparse_27_N40_M800,100,0.7,0.1,2,336307
edge_sparse_27_N40_M800,100,0.7,0.1,1,338064
edge_sparse_27_N40_M800,100,0.7,0.2,1,341768
edge_sparse_27_N40_M800,100,0.7,0.2,0,344915
edge_sparse_27_N40_M800,100,0.8,0.05,0,325818
edge_sparse_27_N40_M800,100,0.7,0.2,2,342008
edge_sparse_27_N40_M800,100,0.8,0.1,0,333367
edge_sparse_27_N40_M800,100,0.8,0.1,1,333835
edge_sparse_27_N40_M800,100,0.8,0.05,2,336224
edge_sparse_27_N40_M800,100,0.8,0.05,1,326310
edge_sparse_27_N40_M800,100,0.8,0.1,2,340849
edge_sparse_27_N40_M800,100,0.8,0.2,0,345557
edge_sparse_27_N40_M800,100,0.8,0.2,1,344849
edge_sparse_27_N40_M800,100,0.8,0.2,2,345971
edge_sparse_27_N40_M800,100,0.9,0.05,0,333939
edge_sparse_27_N40_M800,100,0.9,0.05,2,324319
edge_sparse_27_N40_M800,100,0.9,0.05,1,327407
edge_sparse_27_N40_M800,100,0.9,0.1,1,337975
edge_sparse_27_N40_M800,100,0.9,0.1,0,332843
edge_sparse_27_N40_M800,100,0.9,0.1,2,334706
edge_sparse_27_N40_M800,100,0.9,0.2,0,347056
edge_sparse_27_N40_M800,100,0.9,0.2,1,342603
edge_sparse_27_N40_M800,200,0.7,0.05,1,330292
edge_sparse_27_N40_M800,100,0.9,0.2,2,340951
edge_sparse_27_N40_M800,200,0.7,0.1,1,339892
edge_sparse_27_N40_M800,200,0.7,0.05,0,326986
edge_sparse_27_N40_M800,200,0.7,0.05,2,325848
edge_sparse_27_N40_M800,200,0.7,0.1,0,342897
edge_sparse_27_N40_M800,200,0.7,0.2,0,346892
edge_sparse_27_N40_M800,200,0.7,0.2,1,343868
edge_sparse_27_N40_M800,200,0.7,0.1,2,338628
edge_sparse_27_N40_M800,200,0.7,0.2,2,343414
edge_sparse_27_N40_M800,200,0.8,0.05,0,326844
edge_sparse_27_N40_M800,200,0.8,0.05,1,334641
edge_sparse_27_N40_M800,200,0.8,0.05,2,330966
edge_sparse_27_N40_M800,200,0.8,0.1,2,336573
edge_sparse_27_N40_M800,200,0.8,0.2,0,344491
edge_sparse_27_N40_M800,200,0.8,0.2,1,345677
edge_sparse_27_N40_M800,200,0.8,0.1,1,343291
edge_sparse_27_N40_M800,200,0.8,0.1,0,339338
edge_sparse_27_N40_M800,200,0.8,0.2,2,347208
edge_sparse_27_N40_M800,200,0.9,0.05,0,324778
edge_sparse_27_N40_M800,200,0.9,0.05,1,324604
edge_sparse_27_N40_M800,200,0.9,0.1,0,334458
edge_sparse_27_N40_M800,200,0.9,0.05,2,325659
edge_sparse_27_N40_M800,200,0.9,0.1,1,344017
edge_sparse_27_N40_M800,200,0.9,0.1,2,338436
edge_sparse_27_N40_M800,200,0.9,0.2,0,345909
edge_sparse_27_N40_M800,200,0.9,0.2,1,344470
edge_sparse_27_N40_M800,200,0.9,0.2,2,345347
large_19_N40_M800,100,0.7,0.05,0,321775
large_19_N40_M800,100,0.7,0.05,1,319748
large_19_N40_M800,100,0.7,0.05,2,318966
large_19_N40_M800,100,0.7,0.1,0,327705
large_19_N40_M800,100,0.7,0.1,1,328643
large_19_N40_M800,100,0.7,0.1,2,327931
large_19_N40_M800,100,0.7,0.2,0,331149
large_19_N40_M800,100,0.7,0.2,1,332784
large_19_N40_M800,100,0.7,0.2,2,330812
large_19_N40_M800,100,0.8,0.05,0,319577
large_19_N40_M800,100,0.8,0.05,1,316667
large_19_N40_M800,100,0.8,0.05,2,320081
large_19_N40_M800,100,0.8,0.1,0,323085
large_19_N40_M800,100,0.8,0.1,1,328257
large_19_N40_M800,100,0.8,0.1,2,324276
large_19_N40_M800,100,0.8,0.2,0,330667
large_19_N40_M800,100,0.8,0.2,1,332136
large_19_N40_M800,100,0.8,0.2,2,331697
large_19_N40_M800,100,0.9,0.05,0,313653
large_19_N40_M800,100,0.9,0.05,1,319922
large_19_N40_M800,100,0.9,0.05,2,315928
large_19_N40_M800,100,0.9,0.1,1,325635
large_19_N40_M800,100,0.9,0.1,0,326188
large_19_N40_M800,100,0.9,0.1,2,327303
large_19_N40_M800,100,0.9,0.2,0,327551
large_19_N40_M800,100,0.9,0.2,1,329966
large_19_N40_M800,100,0.9,0.2,2,334275
large_19_N40_M800,200,0.7,0.1,1,331517
large_19_N40_M800,200,0.7,0.1,0,330931
large_19_N40_M800,200,0.7,0.05,0,327827
large_19_N40_M800,200,0.7,0.05,1,323836
large_19_N40_M800,200,0.7,0.1,2,328619
large_19_N40_M800,200,0.7,0.05,2,323165
large_19_N40_M800,200,0.7,0.2,0,334807
large_19_N40_M800,200,0.7,0.2,2,333427
large_19_N40_M800,200,0.8,0.05,0,327936
large_19_N40_M800,200,0.8,0.05,1,323878
large_19_N40_M800,200,0.8,0.05,2,326118
large_19_N40_M800,200,0.7,0.2,1,332195
large_19_N40_M800,200,0.8,0.1,0,330846
large_19_N40_M800,200,0.8,0.1,1,330946
large_19_N40_M800,200,0.8,0.1,2,332277
large_19_N40_M800,200,0.8,0.2,0,332378
large_19_N40_M800,200,0.8,0.2,1,334995
large_19_N40_M800,200,0.8,0.2,2,333560
large_19_N40_M800,200,0.9,0.1,0,332381
large_19_N40_M800,200,0.9,0.05,0,327092
large_19_N40_M800,200,0.9,0.1,1,333153
large_19_N40_M800,200,0.9,0.1,2,331561
large_19_N40_M800,200,0.9,0.05,1,324850
large_19_N40_M800,200,0.9,0.05,2,330521
large_19_N40_M800,200,0.9,0.2,0,334819
large_19_N40_M800,200,0.9,0.2,1,336924
large_19_N40_M800,200,0.9,0.2,2,335353
large_21_N50_M1000,100,0.7,0.05,0,475696
large_21_N50_M1000,100,0.7,0.05,1,475583
large_21_N50_M1000,100,0.7,0.05,2,474918
large_21_N50_M1000,100,0.7,0.1,0,481963
large_21_N50_M1000,100,0.7,0.1,1,478839
large_21_N50_M1000,100,0.7,0.1,2,477869
large_21_N50_M1000,100,0.7,0.2,0,481049
large_21_N50_M1000,100,0.7,0.2,1,480406
large_21_N50_M1000,100,0.8,0.05,0,478295
large_21_N50_M1000,100,0.8,0.05,1,474905
large_21_N50_M1000,100,0.8,0.1,0,478272
large_21_N50_M1000,100,0.8,0.05,2,479927
large_21_N50_M1000,100,0.7,0.2,2,480635
large_21_N50_M1000,100,0.8,0.1,1,476810
large_21_N50_M1000,100,0.8,0.2,0,483946
large_21_N50_M1000,100,0.8,0.1,2,477961
large_21_N50_M1000,100,0.8,0.2,1,481015
large_21_N50_M1000,100,0.8,0.2,2,481390
large_21_N50_M1000,100,0.9,0.05,0,475301
large_21_N50_M1000,100,0.9,0.05,1,479508
large_21_N50_M1000,100,0.9,0.05,2,475321
large_21_N50_M1000,100,0.9,0.1,0,479430
large_21_N50_M1000,100,0.9,0.1,1,482248
large_21_N50_M1000,100,0.9,0.1,2,481154
large_21_N50_M1000,100,0.9,0.2,0,481201
large_21_N50_M1000,100,0.9,0.2,1,476753
large_21_N50_M1000,100,0.9,0.2,2,483241
large_21_N50_M1000,200,0.7,0.05,0,479781
large_21_N50_M1000,200,0.7,0.05,1,480235
large_21_N50_M1000,200,0.7,0.05,2,479317
large_21_N50_M1000,200,0.7,0.1,0,481342
large_21_N50_M1000,200,0.7,0.1,1,482316
large_21_N50_M1000,200,0.7,0.1,2,477457
large_21_N50_M1000,200,0.7,0.2,0,480423
large_21_N50_M1000,200,0.7,0.2,1,481579
large_21_N50_M1000,200,0.8,0.05,0,481732
large_21_N50_M1000,200,0.7,0.2,2,482100
large_21_N50_M1000,200,0.8,0.05,1,479813
large_21_N50_M1000,200,0.8,0.05,2,478187
large_21_N50_M1000,200,0.8,0.1,0,480349
large_21_N50_M1000,200,0.8,0.1,1,481197
large_21_N50_M1000,200,0.8,0.1,2,481203
large_21_N50_M1000,200,0.8,0.2,0,480760
large_21_N50_M1000,200,0.8,0.2,1,484465
large_21_N50_M1000,200,0.8,0.2,2,483456
large_21_N50_M1000,200,0.9,0.05,0,479196
large_21_N50_M1000,200,0.9,0.05,1,481784
large_21_N50_M1000,200,0.9,0.05,2,479795
large_21_N50_M1000,200,0.9,0.1,0,480145
large_21_N50_M1000,200,0.9,0.1,1,480949
large_21_N50_M1000,200,0.9,0.1,2,479861
large_22_N50_M1000,100,0.7,0.05,0,478308
